"word","decade","decade_count","decade_total","per_mil"
"13",1890,1,282,3546.1
"a",1890,1,282,3546.1
"à",1890,4,282,14184.4
"attention",1890,1,282,3546.1
"aussi",1890,3,282,10638.3
"autre",1890,2,282,7092.2
"aux",1890,1,282,3546.1
"bas",1890,1,282,3546.1
"bomb",1890,2,282,7092.2
"bout",1890,1,282,3546.1
"c",1890,2,282,7092.2
"ça",1890,2,282,7092.2
"ce",1890,3,282,10638.3
"ces",1890,2,282,7092.2
"cest",1890,5,282,17730.5
"cette",1890,3,282,10638.3
"chance",1890,2,282,7092.2
"ciel",1890,2,282,7092.2
"comme",1890,1,282,3546.1
"cur",1890,2,282,7092.2
"dans",1890,1,282,3546.1
"danse",1890,1,282,3546.1
"de",1890,4,282,14184.4
"demain",1890,2,282,7092.2
"des",1890,11,282,39007.09
"deux",1890,1,282,3546.1
"devant",1890,1,282,3546.1
"dit",1890,2,282,7092.2
"du",1890,1,282,3546.1
"en",1890,1,282,3546.1
"et",1890,11,282,39007.09
"faire",1890,3,282,10638.3
"fois",1890,1,282,3546.1
"foul",1890,1,282,3546.1
"gens",1890,3,282,10638.3
"homme",1890,1,282,3546.1
"ici",1890,1,282,3546.1
"illusion",1890,2,282,7092.2
"je",1890,5,282,17730.5
"jour",1890,2,282,7092.2
"la",1890,3,282,10638.3
"là",1890,3,282,10638.3
"laisse",1890,1,282,3546.1
"le",1890,3,282,10638.3
"les",1890,18,282,63829.79
"lon",1890,1,282,3546.1
"machine",1890,1,282,3546.1
"mais",1890,2,282,7092.2
"mal",1890,2,282,7092.2
"même",1890,4,282,14184.4
"mes",1890,6,282,21276.6
"mine",1890,1,282,3546.1
"monde",1890,2,282,7092.2
"mots",1890,2,282,7092.2
"ne",1890,1,282,3546.1
"normal",1890,2,282,7092.2
"nos",1890,5,282,17730.5
"nous",1890,1,282,3546.1
"nuit",1890,1,282,3546.1
"oh",1890,4,282,14184.4
"on",1890,4,282,14184.4
"ont",1890,3,282,10638.3
"pas",1890,11,282,39007.09
"pass",1890,1,282,3546.1
"pense",1890,2,282,7092.2
"perd",1890,1,282,3546.1
"place",1890,1,282,3546.1
"pour",1890,7,282,24822.7
"pu",1890,2,282,7092.2
"que",1890,10,282,35460.99
"quel",1890,3,282,10638.3
"quelle",1890,1,282,3546.1
"question",1890,2,282,7092.2
"qui",1890,4,282,14184.4
"quon",1890,4,282,14184.4
"regard",1890,5,282,17730.5
"rien",1890,5,282,17730.5
"se",1890,4,282,14184.4
"sest",1890,3,282,10638.3
"si",1890,5,282,17730.5
"silence",1890,1,282,3546.1
"son",1890,1,282,3546.1
"sont",1890,1,282,3546.1
"sort",1890,2,282,7092.2
"sous",1890,1,282,3546.1
"sur",1890,1,282,3546.1
"surface",1890,1,282,3546.1
"ta",1890,1,282,3546.1
"te",1890,2,282,7092.2
"ten",1890,2,282,7092.2
"terre",1890,1,282,3546.1
"toujours",1890,1,282,3546.1
"tous",1890,2,282,7092.2
"tout",1890,2,282,7092.2
"tu",1890,3,282,10638.3
"un",1890,4,282,14184.4
"une",1890,9,282,31914.89
"vas",1890,2,282,7092.2
"vie",1890,3,282,10638.3
"vivre",1890,2,282,7092.2
"y",1890,2,282,7092.2
"yeux",1890,1,282,3546.1
"a",1900,4,290,13793.1
"ai",1900,3,290,10344.83
"all",1900,2,290,6896.55
"am",1900,6,290,20689.66
"and",1900,10,290,34482.76
"anyway",1900,1,290,3448.28
"as",1900,1,290,3448.28
"baby",1900,3,290,10344.83
"background",1900,1,290,3448.28
"be",1900,1,290,3448.28
"bow",1900,1,290,3448.28
"call",1900,4,290,13793.1
"can",1900,2,290,6896.55
"care",1900,5,290,17241.38
"church",1900,1,290,3448.28
"crazy",1900,10,290,34482.76
"day",1900,1,290,3448.28
"do",1900,9,290,31034.48
"fire",1900,2,290,6896.55
"forever",1900,4,290,13793.1
"from",1900,1,290,3448.28
"give",1900,1,290,3448.28
"go",1900,3,290,10344.83
"got",1900,1,290,3448.28
"have",1900,2,290,6896.55
"hit",1900,1,290,3448.28
"hold",1900,2,290,6896.55
"honey",1900,1,290,3448.28
"i",1900,38,290,131034.48
"if",1900,14,290,48275.86
"impossible",1900,1,290,3448.28
"in",1900,5,290,17241.38
"into",1900,1,290,3448.28
"is",1900,4,290,13793.1
"its",1900,5,290,17241.38
"jump",1900,1,290,3448.28
"just",1900,2,290,6896.55
"last",1900,1,290,3448.28
"leave",1900,2,290,6896.55
"like",1900,1,290,3448.28
"little",1900,1,290,3448.28
"love",1900,4,290,13793.1
"may",1900,1,290,3448.28
"me",1900,9,290,31034.48
"mine",1900,1,290,3448.28
"monday",1900,1,290,3448.28
"money",1900,1,290,3448.28
"mountain",1900,2,290,6896.55
"move",1900,3,290,10344.83
"my",1900,4,290,13793.1
"no",1900,1,290,3448.28
"nobody",1900,6,290,20689.66
"dont",1900,8,290,27586.21
"nothing",1900,2,290,6896.55
"notion",1900,1,290,3448.28
"now",1900,1,290,3448.28
"o",1900,1,290,3448.28
"ocean",1900,1,290,3448.28
"of",1900,2,290,6896.55
"off",1900,1,290,3448.28
"on",1900,1,290,3448.28
"or",1900,1,290,3448.28
"out",1900,1,290,3448.28
"people",1900,1,290,3448.28
"quite",1900,1,290,3448.28
"rather",1900,1,290,3448.28
"right",1900,1,290,3448.28
"say",1900,8,290,27586.21
"see",1900,1,290,3448.28
"shake",1900,1,290,3448.28
"shall",1900,1,290,3448.28
"she",1900,7,290,24137.93
"singer",1900,1,290,3448.28
"sky",1900,2,290,6896.55
"smile",1900,1,290,3448.28
"so",1900,1,290,3448.28
"sunday",1900,1,290,3448.28
"sure",1900,4,290,13793.1
"take",1900,3,290,10344.83
"the",1900,11,290,37931.03
"them",1900,1,290,3448.28
"then",1900,2,290,6896.55
"theres",1900,1,290,3448.28
"through",1900,2,290,6896.55
"to",1900,6,290,20689.66
"up",1900,2,290,6896.55
"want",1900,3,290,10344.83
"way",1900,1,290,3448.28
"what",1900,2,290,6896.55
"while",1900,1,290,3448.28
"will",1900,7,290,24137.93
"wind",1900,1,290,3448.28
"with",1900,1,290,3448.28
"would",1900,1,290,3448.28
"you",1900,1,290,3448.28
"a",1910,58,2310,25108.23
"about",1910,2,2310,865.8
"advice",1910,2,2310,865.8
"age",1910,1,2310,432.9
"ago",1910,1,2310,432.9
"agree",1910,1,2310,432.9
"ai",1910,2,2310,865.8
"all",1910,11,2310,4761.9
"am",1910,6,2310,2597.4
"an",1910,2,2310,865.8
"anchor",1910,2,2310,865.8
"and",1910,66,2310,28571.43
"any",1910,1,2310,432.9
"animal",1910,1,2310,432.9
"another",1910,1,2310,432.9
"are",1910,4,2310,1731.6
"as",1910,5,2310,2164.5
"askin",1910,1,2310,432.9
"at",1910,16,2310,6926.41
"away",1910,1,2310,432.9
"baby",1910,7,2310,3030.3
"back",1910,11,2310,4761.9
"bad",1910,3,2310,1298.7
"ball",1910,1,2310,432.9
"band",1910,2,2310,865.8
"be",1910,8,2310,3463.2
"beach",1910,2,2310,865.8
"bear",1910,1,2310,432.9
"beat",1910,12,2310,5194.81
"beautiful",1910,1,2310,432.9
"bed",1910,3,2310,1298.7
"been",1910,7,2310,3030.3
"before",1910,6,2310,2597.4
"beg",1910,2,2310,865.8
"behind",1910,1,2310,432.9
"believe",1910,2,2310,865.8
"beneath",1910,1,2310,432.9
"best",1910,1,2310,432.9
"bet",1910,1,2310,432.9
"black",1910,1,2310,432.9
"blackened",1910,1,2310,432.9
"blame",1910,1,2310,432.9
"blessed",1910,1,2310,432.9
"blue",1910,1,2310,432.9
"body",1910,5,2310,2164.5
"book",1910,2,2310,865.8
"bored",1910,2,2310,865.8
"both",1910,2,2310,865.8
"bound",1910,1,2310,432.9
"bout",1910,1,2310,432.9
"bow",1910,1,2310,432.9
"boy",1910,1,2310,432.9
"break",1910,2,2310,865.8
"breath",1910,1,2310,432.9
"bring",1910,1,2310,432.9
"burn",1910,2,2310,865.8
"business",1910,1,2310,432.9
"but",1910,11,2310,4761.9
"by",1910,3,2310,1298.7
"ca",1910,3,2310,1298.7
"cage",1910,1,2310,432.9
"call",1910,9,2310,3896.1
"calm",1910,1,2310,432.9
"can",1910,11,2310,4761.9
"candy",1910,1,2310,432.9
"candle",1910,1,2310,432.9
"cannot",1910,2,2310,865.8
"captain",1910,2,2310,865.8
"cards",1910,1,2310,432.9
"care",1910,1,2310,432.9
"caress",1910,1,2310,432.9
"cause",1910,3,2310,1298.7
"certain",1910,2,2310,865.8
"chance",1910,2,2310,865.8
"change",1910,1,2310,432.9
"charm",1910,4,2310,1731.6
"cheat",1910,1,2310,432.9
"cheese",1910,2,2310,865.8
"chest",1910,3,2310,1298.7
"child",1910,3,2310,1298.7
"clever",1910,2,2310,865.8
"close",1910,1,2310,432.9
"closer",1910,1,2310,432.9
"code",1910,6,2310,2597.4
"confess",1910,2,2310,865.8
"conquer",1910,1,2310,432.9
"cost",1910,1,2310,432.9
"could",1910,15,2310,6493.51
"country",1910,2,2310,865.8
"cover",1910,4,2310,1731.6
"cowboy",1910,3,2310,1298.7
"crawl",1910,10,2310,4329
"cry",1910,1,2310,432.9
"cross",1910,2,2310,865.8
"cryin",1910,1,2310,432.9
"date",1910,1,2310,432.9
"daughter",1910,4,2310,1731.6
"day",1910,6,2310,2597.4
"dead",1910,3,2310,1298.7
"death",1910,1,2310,432.9
"degree",1910,1,2310,432.9
"describe",1910,3,2310,1298.7
"deserve",1910,1,2310,432.9
"devil",1910,1,2310,432.9
"dice",1910,3,2310,1298.7
"dick",1910,2,2310,865.8
"did",1910,4,2310,1731.6
"dim",1910,1,2310,432.9
"do",1910,9,2310,3896.1
"does",1910,3,2310,1298.7
"down",1910,9,2310,3896.1
"dream",1910,3,2310,1298.7
"drip",1910,1,2310,432.9
"drive",1910,3,2310,1298.7
"drop",1910,1,2310,432.9
"due",1910,2,2310,865.8
"earth",1910,1,2310,432.9
"east",1910,1,2310,432.9
"eat",1910,1,2310,432.9
"em",1910,2,2310,865.8
"end",1910,1,2310,432.9
"enough",1910,2,2310,865.8
"even",1910,4,2310,1731.6
"ever",1910,5,2310,2164.5
"excuse",1910,3,2310,1298.7
"face",1910,1,2310,432.9
"fall",1910,1,2310,432.9
"family",1910,2,2310,865.8
"feel",1910,9,2310,3896.1
"feet",1910,3,2310,1298.7
"fin",1910,3,2310,1298.7
"finally",1910,4,2310,1731.6
"find",1910,1,2310,432.9
"fingers",1910,2,2310,865.8
"finish",1910,2,2310,865.8
"fire",1910,1,2310,432.9
"fish",1910,2,2310,865.8
"floating",1910,5,2310,2164.5
"floor",1910,7,2310,3030.3
"follow",1910,2,2310,865.8
"for",1910,16,2310,6926.41
"found",1910,2,2310,865.8
"from",1910,16,2310,6926.41
"frustration",1910,1,2310,432.9
"gamble",1910,1,2310,432.9
"gave",1910,4,2310,1731.6
"get",1910,4,2310,1731.6
"girl",1910,6,2310,2597.4
"give",1910,1,2310,432.9
"go",1910,11,2310,4761.9
"god",1910,2,2310,865.8
"goddamn",1910,1,2310,432.9
"good",1910,10,2310,4329
"got",1910,16,2310,6926.41
"grab",1910,2,2310,865.8
"grand",1910,2,2310,865.8
"grave",1910,2,2310,865.8
"graveyard",1910,1,2310,432.9
"green",1910,2,2310,865.8
"grow",1910,2,2310,865.8
"guess",1910,1,2310,432.9
"had",1910,1,2310,432.9
"hand",1910,4,2310,1731.6
"happy",1910,1,2310,432.9
"hard",1910,4,2310,1731.6
"harm",1910,1,2310,432.9
"has",1910,12,2310,5194.81
"hat",1910,1,2310,432.9
"hate",1910,2,2310,865.8
"have",1910,49,2310,21212.12
"he",1910,37,2310,16017.32
"head",1910,3,2310,1298.7
